                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70199,                 1.0348,                 0.9518,                0.49498,                0.97956,                0.56546,                0.48157,                0.62852,                0.88236,                0.93169,              0.0033276,              0.0033276,              0.0033276
                      2,                0.72377,                 1.0557,                0.96175,                0.54494,                0.89517,                0.68951,                0.57591,                0.66364,                0.83208,                0.94619,               0.006595,               0.006595,               0.006595
                      3,                0.76366,                 1.0889,                0.97592,                0.49221,                0.96159,                0.61611,                0.50895,                0.68763,                0.91525,                0.95397,              0.0097964,              0.0097964,              0.0097964
                      4,                0.81208,                 1.1458,                0.99506,                0.48646,                0.96989,                0.50845,                0.41888,                0.69252,                0.98407,                0.96328,               0.009703,               0.009703,               0.009703
                      5,                0.81076,                 1.1459,                0.99562,                0.48556,                 0.9683,                0.53752,                0.44265,                    0.7,                0.94787,                0.95858,               0.009604,               0.009604,               0.009604
                      6,                0.82305,                 1.1604,                 1.0034,                 0.4903,                0.94333,                0.59084,                  0.479,                0.73507,                0.95354,                0.97475,               0.009505,               0.009505,               0.009505
                      7,                0.81858,                 1.1444,                0.99971,                0.50889,                0.92404,                0.67649,                0.55539,                0.71678,                0.89891,                0.96935,               0.009406,               0.009406,               0.009406
                      8,                0.82405,                 1.1556,                 1.0003,                0.48351,                 0.9729,                0.51599,                0.42368,                0.69331,                0.98805,                0.95065,               0.009307,               0.009307,               0.009307
                      9,                0.80644,                 1.1408,                0.99668,                0.50388,                0.92474,                0.64496,                0.53471,                0.68942,                0.89646,                0.95478,               0.009208,               0.009208,               0.009208
                     10,                0.80663,                 1.1415,                0.99573,                0.48839,                0.97443,                0.53607,                0.44373,                0.68061,                0.94024,                0.94958,               0.009109,               0.009109,               0.009109
                     11,                0.80328,                 1.1338,                0.99276,                0.50401,                 0.9444,                0.55699,                0.46086,                0.68258,                0.92892,                 0.9549,                0.00901,                0.00901,                0.00901
                     12,                0.80183,                 1.1349,                0.99084,                0.49047,                0.96247,                0.60051,                0.50406,                0.68911,                0.92282,                  0.959,               0.008911,               0.008911,               0.008911
                     13,                0.79168,                  1.117,                0.98789,                0.50031,                0.95258,                0.64312,                0.52956,                0.69719,                0.88017,                0.96622,               0.008812,               0.008812,               0.008812
                     14,                 0.8045,                 1.1292,                 0.9967,                0.50557,                  0.957,                0.63171,                0.52247,                0.67385,                0.88101,                0.95429,               0.008713,               0.008713,               0.008713
                     15,                0.79012,                  1.111,                0.98671,                0.48625,                0.97191,                0.56927,                 0.4761,                0.66663,                0.92733,                0.94403,               0.008614,               0.008614,               0.008614
                     16,                0.79239,                 1.1103,                0.98856,                0.52217,                0.92514,                0.66307,                0.55004,                 0.6719,                0.86734,                0.95007,               0.008515,               0.008515,               0.008515
                     17,                0.78196,                 1.1147,                 0.9828,                 0.4905,                0.97339,                0.60059,                0.50615,                0.66016,                0.90234,                0.94416,               0.008416,               0.008416,               0.008416
                     18,                0.77915,                 1.1075,                0.98124,                 0.4912,                0.96542,                 0.6247,                0.52308,                0.66871,                0.89906,                0.94157,               0.008317,               0.008317,               0.008317
                     19,                0.77734,                 1.0939,                0.98418,                0.51893,                0.91958,                0.65587,                0.55267,                0.66563,                0.85203,                0.94356,               0.008218,               0.008218,               0.008218
                     20,                0.77944,                 1.1069,                0.98318,                0.50626,                 0.9587,                0.60071,                0.50607,                0.65231,                0.87593,                0.93213,               0.008119,               0.008119,               0.008119
                     21,                0.77309,                  1.092,                  0.979,                0.51655,                0.93193,                0.64126,                0.53626,                 0.6711,                0.86144,                0.94586,                0.00802,                0.00802,                0.00802
                     22,                0.77459,                 1.0985,                0.98521,                0.52357,                0.90344,                0.67604,                0.57107,                0.64959,                0.83662,                 0.9424,               0.007921,               0.007921,               0.007921
